#U ADC
#   eta  phi  dep  det  cap1  cap2   cap3   cap4      HcalDetId  
     1   11    1   HB  0.378 0.378 0.378 0.378 4200608B
     1   12    1   HB  0.209 0.209 0.209 0.209 4200608C
     1   13    1   HB  0.168 0.168 0.168 0.168 4200608D
     1   14    1   HB  0.162 0.162 0.162 0.162 4200608E
     2   11    1   HB  0.378 0.378 0.378 0.378 4200610B
     2   12    1   HB  0.209 0.209 0.209 0.209 4200610C
     2   13    1   HB  0.168 0.168 0.168 0.168 4200610D
     2   14    1   HB  0.162 0.162 0.162 0.162 4200610E
     3   11    1   HB  0.378 0.378 0.378 0.378 4200618B
     3   12    1   HB  0.209 0.209 0.209 0.209 4200618C
     3   13    1   HB  0.168 0.168 0.168 0.168 4200618D
     3   14    1   HB  0.162 0.162 0.162 0.162 4200618E
     4   11    1   HB  0.378 0.378 0.378 0.378 4200620B
     4   12    1   HB  0.209 0.209 0.209 0.209 4200620C
     4   13    1   HB  0.168 0.168 0.168 0.168 4200620D
     4   14    1   HB  0.162 0.162 0.162 0.162 4200620E
     5   11    1   HB  0.378 0.378 0.378 0.378 4200628B
     5   12    1   HB  0.209 0.209 0.209 0.209 4200628C
     5   13    1   HB  0.168 0.168 0.168 0.168 4200628D
     5   14    1   HB  0.162 0.162 0.162 0.162 4200628E
     6   11    1   HB  0.378 0.378 0.378 0.378 4200630B
     6   12    1   HB  0.209 0.209 0.209 0.209 4200630C
     6   13    1   HB  0.168 0.168 0.168 0.168 4200630D
     6   14    1   HB  0.162 0.162 0.162 0.162 4200630E
     7   11    1   HB  0.378 0.378 0.378 0.378 4200638B
     7   12    1   HB  0.209 0.209 0.209 0.209 4200638C
     7   13    1   HB  0.168 0.168 0.168 0.168 4200638D
     7   14    1   HB  0.162 0.162 0.162 0.162 4200638E
     8   11    1   HB  0.378 0.378 0.378 0.378 4200640B
     8   12    1   HB  0.209 0.209 0.209 0.209 4200640C
     8   13    1   HB  0.168 0.168 0.168 0.168 4200640D
     8   14    1   HB  0.162 0.162 0.162 0.162 4200640E
     9   11    1   HB  0.426 0.426 0.426 0.426 4200648B
     9   12    1   HB  0.212 0.212 0.212 0.212 4200648C
     9   13    1   HB  0.186 0.186 0.186 0.186 4200648D
     9   14    1   HB  0.162 0.162 0.162 0.162 4200648E
    10   11    1   HB  0.325 0.325 0.325 0.325 4200650B
    10   12    1   HB  0.207 0.207 0.207 0.207 4200650C
    10   13    1   HB  0.173 0.173 0.173 0.173 4200650D
    10   14    1   HB  0.171 0.171 0.171 0.171 4200650E
    11   11    1   HB  0.428 0.428 0.428 0.428 4200658B
    11   12    1   HB  0.217 0.217 0.217 0.217 4200658C
    11   13    1   HB  0.170 0.170 0.170 0.170 4200658D
    11   14    1   HB  0.170 0.170 0.170 0.170 4200658E
    12   11    1   HB  0.440 0.440 0.440 0.440 4200660B
    12   12    1   HB  0.218 0.218 0.218 0.218 4200660C
    12   13    1   HB  0.170 0.170 0.170 0.170 4200660D
    12   14    1   HB  0.167 0.167 0.167 0.167 4200660E
    13   11    1   HB  0.342 0.342 0.342 0.342 4200668B
    13   12    1   HB  0.214 0.214 0.214 0.214 4200668C
    13   13    1   HB  0.157 0.157 0.157 0.157 4200668D
    13   14    1   HB  0.143 0.143 0.143 0.143 4200668E
    14   11    1   HB  0.327 0.327 0.327 0.327 4200670B
    14   12    1   HB  0.206 0.206 0.206 0.206 4200670C
    14   13    1   HB  0.177 0.177 0.177 0.177 4200670D
    14   14    1   HB  0.159 0.159 0.159 0.159 4200670E
    15   11    1   HB  0.358 0.358 0.358 0.358 4200678B
    15   12    1   HB  0.186 0.186 0.186 0.186 4200678C
    15   13    1   HB  0.140 0.140 0.140 0.140 4200678D
    15   14    1   HB  0.160 0.160 0.160 0.160 4200678E
    16   11    1   HB  0.027 0.027 0.027 0.027 4200680B
    16   12    1   HB  0.015 0.015 0.015 0.015 4200680C
    16   13    1   HB  0.012 0.012 0.012 0.012 4200680D
    16   14    1   HB  0.012 0.012 0.012 0.012 4200680E
    15   11    2   HB  0.111 0.111 0.111 0.111 4200A78B
    15   12    2   HB  0.061 0.061 0.061 0.061 4200A78C
    15   13    2   HB  0.049 0.049 0.049 0.049 4200A78D
    15   14    2   HB  0.048 0.048 0.048 0.048 4200A78E
    16   11    2   HB  0.189 0.189 0.189 0.189 4200A80B
    16   12    2   HB  0.104 0.104 0.104 0.104 4200A80C
    16   13    2   HB  0.084 0.084 0.084 0.084 4200A80D
    16   14    2   HB  0.081 0.081 0.081 0.081 4200A80E


   4     4     4   HO    1.0   1.0   1.0   1.0   0
   3     4     4   HO    1.0   1.0   1.0   1.0   0
   2     4     4   HO    1.0   1.0   1.0   1.0   0
   1     4     4   HO    1.0   1.0   1.0   1.0   0
   4     3     4   HO    1.0   1.0   1.0   1.0   0
   3     3     4   HO    1.0   1.0   1.0   1.0   0
   2     3     4   HO    1.0   1.0   1.0   1.0   0
   1     3     4   HO    1.0   1.0   1.0   1.0   0

   4     6     4   HO    1.0   1.0   1.0   1.0   0
   3     6     4   HO    1.0   1.0   1.0   1.0   0
   2     6     4   HO    1.0   1.0   1.0   1.0   0
   1     6     4   HO    1.0   1.0   1.0   1.0   0
   4     5     4   HO    1.0   1.0   1.0   1.0   0
   3     5     4   HO    1.0   1.0   1.0   1.0   0
   2     5     4   HO    1.0   1.0   1.0   1.0   0
   1     5     4   HO    1.0   1.0   1.0   1.0   0

