#U ADC
#   eta  phi  dep  det  cap1  cap2   cap3   cap4      HcalDetId  
     1   11    1   HB  3.5751 3.3370 3.8788 3.7888    4200608B
     1   12    1   HB  3.7003 3.5155 3.9003 3.6758    4200608C
     1   13    1   HB  3.2358 3.6124 3.6943 3.4682    4200608D
     1   14    1   HB  3.2729 3.0209 3.5264 3.4380    4200608E
     2   11    1   HB  3.8334 3.5170 3.9282 3.4676    4200610B
     2   12    1   HB  3.6881 3.5789 3.9429 3.5560    4200610C
     2   13    1   HB  3.4172 2.9994 3.6717 3.0322    4200610D
     2   14    1   HB  3.6555 3.7387 3.8134 3.8823    4200610E
     3   11    1   HB  3.6175 3.7396 3.7782 3.4888    4200618B
     3   12    1   HB  3.3331 3.3937 3.6140 3.6005    4200618C
     3   13    1   HB  3.1202 3.3787 3.6390 2.9977    4200618D
     3   14    1   HB  3.3654 3.2328 3.3976 3.4429    4200618E
     4   11    1   HB  3.4138 3.4562 3.0410 3.4662    4200620B
     4   12    1   HB  3.1554 3.3491 3.4879 3.4777    4200620C
     4   13    1   HB  3.5169 3.7295 4.0705 3.3582    4200620D
     4   14    1   HB  3.2001 3.4097 3.3215 3.5003    4200620E
     5   11    1   HB  3.0855 3.4603 3.4377 3.7929    4200628B
     5   12    1   HB  3.2720 3.3957 3.4754 3.0500    4200628C
     5   13    1   HB  3.2445 3.5049 3.2836 3.3305    4200628D
     5   14    1   HB  3.4345 3.5468 3.3747 3.6484    4200628E
     6   11    1   HB  3.7303 3.3944 3.4505 3.7475    4200630B
     6   12    1   HB  3.2321 3.3838 3.3873 3.3157    4200630C
     6   13    1   HB  3.4121 3.6071 3.4170 3.5655    4200630D
     6   14    1   HB  3.4116 3.3577 3.2734 3.1589    4200630E
     7   11    1   HB  3.6138 3.8594 3.5415 3.7789    4200638B
     7   12    1   HB  3.1098 3.3451 3.2730 3.3838    4200638C
     7   13    1   HB  2.9588 3.3537 3.4099 3.6029    4200638D
     7   14    1   HB  3.1751 3.6155 3.5487 3.4990    4200638E
     8   11    1   HB  3.6087 3.4522 3.5586 3.7700    4200640B
     8   12    1   HB  3.6724 3.0218 3.5186 3.2715    4200640C
     8   13    1   HB  3.1977 3.1739 3.1405 3.4928    4200640D
     8   14    1   HB  3.8458 3.7053 3.8222 3.7268    4200640E
     9   11    1   HB  3.3005 3.2514 3.5533 3.5908    4200648B
     9   12    1   HB  3.2963 3.3865 3.4855 3.6263    4200648C
     9   13    1   HB  3.3713 3.2279 3.1539 3.1586    4200648D
     9   14    1   HB  2.8795 3.0319 2.9606 3.1377    4200648E
    10   11    1   HB   3.6835 3.4378 3.4935 3.5394   4200650B
    10   12    1   HB   2.8052 3.8324 3.6027 3.4427   4200650C
    10   13    1   HB   3.5255 3.6987 3.5913 4.0640   4200650D
    10   14    1   HB   3.2239 3.1849 3.4680 3.1686   4200650E
    11   11    1   HB   3.0905 3.6440 3.3859 3.9065   4200658B
    11   12    1   HB   3.1898 3.4859 3.8127 3.5014   4200658C
    11   13    1   HB   3.3587 3.4823 3.6307 3.6446   4200658D
    11   14    1   HB   3.7014 3.8406 3.6280 4.0137   4200658E
    12   11    1   HB   3.7071 3.7109 3.7123 3.8045   4200660B
    12   12    1   HB   3.6441 3.7483 3.5811 3.7626   4200660C
    12   13    1   HB   3.0942 3.3642 3.2307 3.4157   4200660D
    12   14    1   HB   3.0581 3.1674 3.4409 3.7566   4200660E
    13   11    1   HB   3.3704 3.2426 3.3865 3.2022   4200668B
    13   12    1   HB   3.5712 3.7611 3.6882 3.5914   4200668C
    13   13    1   HB   3.4732 3.4079 3.7297 3.6724   4200668D
    13   14    1   HB   3.0741 3.5191 3.5610 3.2366   4200668E
    14   11    1   HB   3.1454 2.8412 3.2402 2.9978   4200670B
    14   12    1   HB   3.7027 3.8159 3.9131 3.2828   4200670C
    14   13    1   HB   3.1030 3.3889 3.6442 3.5006   4200670D
    14   14    1   HB   3.8317 4.1252 3.9736 4.0618   4200670E
    15   11    1   HB   3.5386 3.8678 3.9117 4.1238   4200678B
    15   12    1   HB   3.6145 3.5193 3.8501 3.4388   4200678C
    15   13    1   HB   3.2473 3.1469 3.2443 3.3181   4200678D
    15   14    1   HB   2.8939 3.1217 3.0835 3.0498   4200678E
    16   11    1   HB   3.3712 3.0183 3.5233 3.3649   4200680B
    16   12    1   HB   3.4466 3.2068 3.5436 3.4230   4200680C
    16   13    1   HB   3.0938 3.4945 3.3362 3.3487   4200680D
    16   14    1   HB   3.5771 3.4366 3.6265 3.8247   4200680E
    15   11    2   HB   3.7566 3.5714 3.7949 3.8198   4200A78B
    15   12    2   HB   4.0622 3.2178 4.0101 3.4008   4200A78C
    15   13    2   HB   3.0567 3.2197 3.3747 3.7356   4200A78D
    15   14    2   HB   3.9079 3.4815 3.8549 3.5139   4200A78E
    16   11    2   HB   3.2005 3.5672 3.4425 3.3118   4200A80B
    16   12    2   HB   3.2568 3.7300 3.5920 4.1554   4200A80C
    16   13    2   HB   3.3343 3.4885 3.5351 3.5143   4200A80D
    16   14    2   HB   3.1157 3.2460 3.5076 3.2515   4200A80E
     
   4     4     4   HO    11.0  11.0  11.0  11.0   0
   3     4     4   HO    11.0  11.0  11.0  11.0   0
   2     4     4   HO    10.7  10.7  10.7  10.7   0
   1     4     4   HO    11.0  11.0  11.0  11.0   0
   4     3     4   HO    10.5  10.5  10.5  10.5   0
   3     3     4   HO    11.3  11.3  11.3  11.3   0
   2     3     4   HO    10.2  10.2  10.2  10.2   0
   1     3     4   HO    11.0  11.0  11.0  11.0  0

   4     6     4   HO    4.4   4.4   4.4   4.4   0
   3     6     4   HO    4.7   4.7   4.7   4.7   0
   2     6     4   HO    4.9   4.9   4.9   4.9   0
   1     6     4   HO    4.4   4.4   4.4   4.4   0
   4     5     4   HO    4.3   4.3   4.3   4.3   0
   3     5     4   HO    4.1   4.1   4.1   4.1   0
   2     5     4   HO    3.9   3.9   3.9   3.9   0
   1     5     4   HO    4.4   4.4   4.4   4.4   0

